,PID,Inicio,Fin,PF,Seed
946420,E3QE54_COLGM,43,302,PF12767,1.0
946421,L2FX62_COLGN,43,283,PF12767,1.0
946422,F0XGS5_GROCL,40,280,PF12767,1.0
946423,S3CEW3_OPHP1,40,280,PF12767,1.0
946424,U7PM01_SPOS1,40,281,PF12767,1.0
946425,G0SED0_CHATD,56,290,PF12767,1.0
946426,B2B7Z9_PODAN,43,281,PF12767,1.0
946427,F7W436_SORMK,42,281,PF12767,1.0
946428,G2QT34_THITE,43,281,PF12767,1.0
946429,G4MW59_MAGO7,39,279,PF12767,1.0
946430,A0A0C4EE93_MAGP6,41,277,PF12767,1.0
946431,Q2UMK4_ASPOR,39,272,PF12767,1.0
946432,H6CAK0_EXODN,45,291,PF12767,1.0
946433,U1GFD4_ENDPU,45,285,PF12767,1.0
946434,K2R5Z2_MACPH,54,286,PF12767,1.0
946435,Q0UYW5_PHANO,40,274,PF12767,1.0
946436,B2WNI8_PYRTR,40,285,PF12767,1.0
946437,E5AF91_LEPMJ,42,289,PF12767,1.0
946438,G1XH33_ARTOA,53,281,PF12767,1.0
946439,HFI1_SCHPO,17,251,PF12767,1.0
946440,Q6CVP9_KLULA,52,305,PF12767,1.0
946441,C5DBV1_LACTC,47,307,PF12767,1.0
946442,Q755J4_ASHGO,48,306,PF12767,1.0
946443,J8PH98_SACAR,56,316,PF12767,1.0
946444,Q6FSG9_CANGA,72,323,PF12767,1.0
946445,G0VHV6_NAUCC,56,307,PF12767,1.0
946446,G0WCC5_NAUDC,77,374,PF12767,1.0
946447,H2AWE3_KAZAF,54,315,PF12767,1.0
946448,J7RJY3_KAZNA,52,309,PF12767,1.0
946449,G8ZN42_TORDC,59,314,PF12767,1.0
946450,A7TDM4_VANPO,64,324,PF12767,1.0
946451,G8BWG0_TETPH,67,326,PF12767,1.0
946452,I2H6W4_TETBL,76,368,PF12767,1.0
946453,G8Y6Q4_PICSO,13,246,PF12767,1.0
946454,Q6BS49_DEBHA,14,248,PF12767,1.0
946455,A5DXD6_LODEL,74,311,PF12767,1.0
946456,Q5AEG1_CANAL,48,283,PF12767,1.0
946457,Q6CBZ6_YARLI,55,293,PF12767,1.0
946458,K0KJ17_WICCF,47,281,PF12767,1.0
946459,C4QZA3_KOMPG,61,290,PF12767,1.0
946460,W1QJU5_OGAPD,39,272,PF12767,1.0
946461,Q5KHJ0_CRYNJ,51,284,PF12767,1.0
946462,S2JQB7_MUCC1,29,264,PF12767,1.0
946463,A8QAF0_MALGO,17,300,PF12767,1.0
946464,A0A0D1CNG8_USTMA,19,293,PF12767,1.0
946465,F4RCT5_MELLP,21,283,PF12767,1.0
946466,E3KR20_PUCGT,18,282,PF12767,1.0
946467,A0A0C4ERN4_PUCT1,18,280,PF12767,1.0
946468,M7XRH4_RHOT1,33,309,PF12767,1.0
946469,U5HIC7_USTV1,64,371,PF12767,1.0
946470,F4NST5_BATDJ,19,248,PF12767,1.0
946471,Q54DW3_DICDI,32,273,PF12767,1.0
946472,F4QCL1_CAVFA,29,262,PF12767,1.0
946473,C1E4M2_MICCC,18,270,PF12767,1.0
946474,D5GE69_TUBMM,45,277,PF12767,1.0
946475,U4L2I5_PYROM,48,282,PF12767,1.0
946476,M2N9U9_BAUCO,35,298,PF12767,1.0
946477,N1PLH4_DOTSN,46,310,PF12767,1.0
946478,M3AVB3_PSEFD,39,310,PF12767,1.0
946479,M3BXB1_SPHMS,39,299,PF12767,1.0
946480,L8FMS9_PSED2,41,276,PF12767,1.0
946481,K1WYS0_MARBU,40,278,PF12767,1.0
946482,A7EIU6_SCLS1,42,280,PF12767,1.0
946483,S3CUS7_GLAL2,40,278,PF12767,1.0
946484,G0RCS7_HYPJQ,42,286,PF12767,1.0
946485,G9N976_HYPVG,42,280,PF12767,1.0
946486,J4WFR9_BEAB2,39,274,PF12767,1.0
946487,E9DXG1_METAQ,42,280,PF12767,1.0
946488,M1WD80_CLAP2,42,280,PF12767,1.0
946489,T5AQZ5_OPHSC,42,282,PF12767,1.0
946490,C7YRC2_NECH7,42,282,PF12767,1.0
946491,F9FS20_FUSOF,42,312,PF12767,1.0
946492,N1RNC4_FUSC4,42,294,PF12767,1.0
444388,Q82XS5_NITEU,53,327,PF00487,1.0
444389,Q024E6_SOLUE,55,326,PF00487,1.0
444390,Q1GR35_SPHAL,76,348,PF00487,1.0
444391,Q1DBX0_MYXXD,81,322,PF00487,1.0
444392,Q5WAZ0_BACSK,51,298,PF00487,1.0
444393,Q8P4Z4_XANCP,66,318,PF00487,1.0
444394,A6GHN7_9DELT,60,313,PF00487,1.0
444395,Q82SS4_NITEU,60,304,PF00487,1.0
444396,A4BSL5_9GAMM,59,306,PF00487,1.0
444397,Q63YY2_BURPS,59,318,PF00487,1.0
444398,Q6N921_RHOPA,54,303,PF00487,1.0
444399,Q2IYE1_RHOP2,33,276,PF00487,1.0
444400,Q1CZS6_MYXXD,61,296,PF00487,1.0
444401,Q10XU1_TRIEI,53,308,PF00487,1.0
444402,A6C2T5_9PLAN,43,291,PF00487,1.0
444403,P71846_MYCTU,66,302,PF00487,1.0
444404,Q0F918_9RHOB,32,277,PF00487,1.0
444405,Q1LF75_CUPMC,77,322,PF00487,1.0
444406,A4BIC7_9GAMM,29,269,PF00487,1.0
444407,A3XCF8_9RHOB,45,265,PF00487,1.0
444408,Q607W4_METCA,89,302,PF00487,1.0
444409,A1B3U6_PARDP,103,337,PF00487,1.0
444410,O05895_MYCTU,137,373,PF00487,1.0
444411,A3VA90_9RHOB,94,321,PF00487,1.0
444412,A3SKE9_ROSNI,90,318,PF00487,1.0
444413,Q23T88_TETTS,108,338,PF00487,1.0
444414,Q23T87_TETTS,98,328,PF00487,1.0
444415,Q11ZW1_POLSJ,40,281,PF00487,1.0
444416,Q89M00_BRADU,74,319,PF00487,1.0
444417,A8LGP4_FRASN,69,307,PF00487,1.0
444418,A6CG61_9PLAN,70,298,PF00487,1.0
444419,Q1DBR8_MYXXD,63,287,PF00487,1.0
444420,Q6LJB6_PHOPR,37,271,PF00487,1.0
444421,Q125U0_POLSJ,20,258,PF00487,1.0
444422,A6G4M6_9DELT,90,345,PF00487,1.0
444423,Q4K721_PSEF5,39,276,PF00487,1.0
444424,A3WI02_9SPHN,45,262,PF00487,1.0
444425,Q097M6_STIAD,66,297,PF00487,1.0
444426,A3LQP8_PICST,87,334,PF00487,1.0
444427,Q31EM7_HYDCU,39,296,PF00487,1.0
444428,A0Z2G0_9GAMM,39,293,PF00487,1.0
444429,Q2Y8X3_NITMU,40,298,PF00487,1.0
444430,Q7N9Z2_PHOLL,38,299,PF00487,1.0
444431,Q87WM9_PSESM,38,293,PF00487,1.0
444432,Q08XY7_STIAD,39,266,PF00487,1.0
444433,A6G419_9DELT,41,272,PF00487,1.0
444434,Q00XX1_OSTTA,73,312,PF00487,1.0
444435,Q236U7_TETTS,123,361,PF00487,1.0
444436,Q24HT6_TETTS,111,353,PF00487,1.0
444437,Q5YXN9_NOCFA,57,292,PF00487,1.0
444438,A3IPN7_9CYAN,29,258,PF00487,1.0
444439,Q4K9L2_PSEF5,68,336,PF00487,1.0
444440,A0A0F2S316_9RHOB,60,318,PF00487,1.0
444441,S2J0R1_MUCC1,159,440,PF00487,1.0
444442,A0JV19_ARTS2,67,328,PF00487,1.0
444443,A0A2K3DBB8_CHLRE,164,446,PF00487,1.0
444444,A4CPH1_ROBBH,65,342,PF00487,1.0
444445,A5FB10_FLAJ1,82,359,PF00487,1.0
444446,A0DWF1_PARTE,155,400,PF00487,1.0
444447,Q7PMH4_ANOGA,154,407,PF00487,1.0
444448,A1T5K7_MYCVP,89,358,PF00487,1.0
444449,Q73UM3_MYCPA,68,341,PF00487,1.0
444450,Q81ZA5_BACAN,53,304,PF00487,1.0
444451,A1U2S5_MARHV,65,319,PF00487,1.0
444452,A6GE09_9DELT,48,306,PF00487,1.0
422592,D1AV45_STRM9,10,406,PF03611,1.0
422593,C7N9S5_LEPBD,10,406,PF03611,1.0
422594,I2B748_SHIBC,12,408,PF03611,1.0
422595,F4H9C6_GALAU,10,406,PF03611,1.0
